date,hour,min,sec,pos_x,pos_y,pos_z,rot_x,rot_y
2019-01-16,11,39,10.4871,-0.1721,0.0264,4.0643,2.2803,280.3673
2019-01-16,11,39,10.5230,-0.2126,0.0253,4.0643,1.2600,280.3540
2019-01-16,11,39,10.5565,-0.2433,0.0256,4.0637,0.7377,280.2602
2019-01-16,11,39,10.5909,-0.2734,0.0284,4.0635,0.8232,280.0266
2019-01-16,11,39,10.6299,-0.3021,0.0305,4.0641,359.7700,279.4217
2019-01-16,11,39,10.6703,-0.3286,0.0346,4.0630,358.6461,279.5629
2019-01-16,11,39,10.7108,-0.3685,0.0402,4.0639,359.2475,279.7291
2019-01-16,11,39,10.7517,-0.3971,0.0471,4.0655,0.1998,279.9315
2019-01-16,11,39,10.7896,-0.4386,0.0578,4.0687,359.9036,280.1421
2019-01-16,11,39,10.8316,-0.4669,0.0602,4.0692,359.8799,279.8175
2019-01-16,11,39,10.8710,-0.5067,0.0595,4.0723,0.8188,279.1183
2019-01-16,11,39,10.9104,-0.5333,0.0549,4.0742,1.4773,278.4996
2019-01-16,11,39,10.9504,-0.5616,0.0498,4.0766,1.5830,277.6467
2019-01-16,11,39,10.9938,-0.6010,0.0429,4.0814,2.2487,276.7833
2019-01-16,11,39,11.0322,-0.6308,0.0381,4.0859,2.1772,276.3481
2019-01-16,11,39,11.0722,-0.6742,0.0315,4.0922,1.4993,275.5479
2019-01-16,11,39,11.1101,-0.7047,0.0273,4.0979,1.1132,275.1231
2019-01-16,11,39,11.1466,-0.7365,0.0241,4.1038,1.2422,274.5719
2019-01-16,11,39,11.1855,-0.7665,0.0234,4.1102,0.9671,274.2329
2019-01-16,11,39,11.2204,-0.8122,0.0221,4.1195,0.1767,273.7167
2019-01-16,11,39,11.2584,-0.8449,0.0261,4.1264,1.3515,273.4752
2019-01-16,11,39,11.2953,-0.8764,0.0300,4.1318,0.7126,273.1308
2019-01-16,11,39,11.3333,-0.9066,0.0366,4.1363,359.8489,272.9199
2019-01-16,11,39,11.3717,-0.9513,0.0447,4.1420,0.4352,272.2088
2019-01-16,11,39,11.4077,-0.9818,0.0525,4.1448,1.0364,271.5475
2019-01-16,11,39,11.4446,-1.0144,0.0607,4.1481,1.0676,270.9780
2019-01-16,11,39,11.4820,-1.0438,0.0619,4.1507,0.4631,270.4831
2019-01-16,11,39,11.5190,-1.0773,0.0623,4.1612,0.1677,270.1439
2019-01-16,11,39,11.5559,-1.1246,0.0601,4.1681,359.9047,269.6706
2019-01-16,11,39,11.5894,-1.1589,0.0553,4.1734,0.0527,269.7201
2019-01-16,11,39,11.6223,-1.1924,0.0504,4.1780,0.5382,270.0526
2019-01-16,11,39,11.6593,-1.2245,0.0459,4.1813,0.6136,270.4089
2019-01-16,11,39,11.6957,-1.2563,0.0413,4.1835,0.4807,270.7014
2019-01-16,11,39,11.7336,-1.2887,0.0366,4.1847,0.4327,270.8564
2019-01-16,11,39,11.7701,-1.3225,0.0322,4.1850,359.7990,270.8285
2019-01-16,11,39,11.8030,-1.3735,0.0256,4.1852,359.6835,270.7333
2019-01-16,11,39,11.8420,-1.4107,0.0217,4.1841,359.9428,270.3848
2019-01-16,11,39,11.8749,-1.4470,0.0238,4.1825,1.0287,270.3041
2019-01-16,11,39,11.9149,-1.4809,0.0303,4.1814,359.7241,270.4598
2019-01-16,11,39,11.9518,-1.5137,0.0374,4.1814,358.5165,270.3629
2019-01-16,11,39,11.9907,-1.5611,0.0444,4.1827,358.9997,270.6426
2019-01-16,11,39,12.0327,-1.5939,0.0530,4.1840,0.0728,270.8553
2019-01-16,11,39,12.0701,-1.6400,0.0631,4.1861,0.3700,271.0727
2019-01-16,11,39,12.1095,-1.6690,0.0671,4.1868,0.1643,271.1222
2019-01-16,11,39,12.1495,-1.6994,0.0676,4.1867,359.8550,271.1163
2019-01-16,11,39,12.1924,-1.7409,0.0654,4.1883,0.0415,271.1129
2019-01-16,11,39,12.2334,-1.7704,0.0596,4.1896,0.7684,271.1446
2019-01-16,11,39,12.2703,-1.8122,0.0521,4.1920,1.0396,271.0250
2019-01-16,11,39,12.3097,-1.8411,0.0457,4.1937,0.3000,270.7633
2019-01-16,11,39,12.3482,-1.8707,0.0389,4.1966,0.0857,270.4876
2019-01-16,11,39,12.3846,-1.8977,0.0337,4.1995,0.2048,270.1996
