,dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y,old_x,old_y,old_z,raw_pred_x,raw_pred_y,raw_pred_z,pred_x,pred_y,pred_z
38,2.1053,2.1067,0.001,-0.0129,0.2393,-0.0853,7.3883,352.4707,47.7844,-0.0139,0.0565,2.2428,2.7915,355.4818,-0.01756210336421506,-0.07746591343119971,1.0187934984197589,0.0,0.0,0.8761104345321655,-0.05707333878383756,-0.004723375815199995,1.2055341994787871
39,2.1607,2.1571,-0.004,-0.0203,0.171,-0.1187,6.9394,352.8011,47.7021,-0.0155,0.0422,2.3083,1.4601,355.0481,-0.020776436543518236,-0.059382996433599816,1.0507610686903448,0.0,0.0,1.0059680938720703,-0.06188397371970085,-0.004723375815199995,1.261056818106468
40,2.2103,2.2083,-0.002,-0.0704,0.0319,-0.0722,6.56,352.8187,48.5242,-0.0171,0.0293,2.374,359.9115,354.6441,-0.02200360201446364,-0.0424241415919997,1.0777861700782951,0.0,0.0,1.0616393089294434,-0.0667991129152203,-0.004723375815199995,1.3134842314886117
41,2.2608,2.2599,-0.001,-0.0214,-0.3399,-0.0228,6.1221,352.8748,49.2536,-0.0195,0.0218,2.4399,359.8252,354.2677,-0.02284468831334006,-0.033652499348999686,1.1047792861974428,0.0,0.0,0.9899654388427734,-0.07179247358120394,-0.004723375815199995,1.363227490940672
42,2.3302,2.3115,-0.019,0.0042,-0.2977,0.0008,5.971,352.9877,49.695,-0.0224,0.0269,2.5209,1.1845,353.6799,-0.02458224752878896,-0.03564954250619965,1.1418766742321238,0.0,0.0,0.8628137111663818,-0.07838416324896291,-0.004723375815199995,1.4227428401312383
43,2.3804,2.362,-0.018000000000000002,-0.0226,-0.2775,0.0315,5.7122,353.1408,49.6203,-0.0246,0.0426,2.5752,0.1557,353.4562,-0.025478010963870416,-0.04394733835379957,1.1695421713937522,0.0,0.0,0.8517566323280334,-0.08325700211388999,-0.004723375815199995,1.4652224546536436
44,2.4301,2.4138,-0.016,-0.0047,-0.1815,0.0421,5.5076,353.2741,50.0473,-0.0265,0.0644,2.6414,0.9464,354.8619,-0.025670618362062123,-0.056556035915399545,1.1979708323194531,0.0,0.0,0.7649320363998413,-0.08666168689227795,-0.004723375815199995,1.5030868139195726
45,2.4854,2.4809,-0.004,0.0167,-0.0109,0.1016,5.1856,353.5634,49.7173,-0.0274,0.076,2.6954,0.2549,356.6573,-0.02557095582980278,-0.07091209696759947,1.23260442451808,0.0,0.0,0.570564329624176,-0.08850143397244897,-0.004723375815199995,1.5345853396672045
46,2.5351,2.5319,-0.003,0.0266,0.0818,0.1075,6.6263,352.6946,54.1367,-0.0283,0.0771,2.7491,0.2401,357.654,-0.02568984469534468,-0.08183425673779944,1.2662982512247543,0.0,0.0,0.47373414039611816,-0.08946520771530471,-0.004723375815199995,1.5581101926253977
47,2.5904,2.5824,-0.008,0.0134,0.2591,0.0418,7.5329,352.2963,55.9132,-0.0275,0.0698,2.8055,359.8901,358.6682,-0.02558911829485436,-0.08622204143139939,1.3050280774344918,0.0,0.0,0.5073568820953369,-0.09011731035242902,-0.004723375815199995,1.5861594490309896
48,2.6403,2.6339,-0.006,-0.0298,0.528,-0.1587,7.1823,352.2315,55.3917,-0.0256,0.0596,2.8621,359.6691,359.9373,-0.023992798526715407,-0.07729705477619933,1.3360935669701643,0.0,0.0,0.627549946308136,-0.09015157873953046,-0.004723375815199995,1.6174741726014483
49,2.6903,2.7013,0.011000000000000001,-0.0421,0.1828,-0.1057,7.0049,352.2789,53.8337,-0.0221,0.047,2.9194,359.5651,2.4306,-0.02011996041046514,-0.06387558237619918,1.364491197503936,0.0,0.0,0.8533002138137817,-0.08834218763438324,-0.004723375815199995,1.6601007985653367
50,2.745,2.7532,0.008,-0.0715,-0.0685,0.0033,6.723,352.19599999999997,52.7764,-0.0177,0.0361,2.9795,358.4583,5.5184,-0.01211961927817291,-0.05120108158759911,1.395179575623446,0.0,0.0,1.0431063175201416,-0.08285518980785436,-0.004723375815199995,1.716894271639774
51,2.7901,2.8207,0.031,-0.0204,-0.2879,0.0326,6.7028,351.9621,52.6119,-0.0104,0.0281,3.0393,358.1743,9.6991,-0.0031859985784102214,-0.04648978693799904,1.4205058783577884,0.0,0.0,1.0448253154754639,-0.07491642660242569,-0.004723375815199995,1.7633423423536312
52,2.8504,2.8739,0.023,-0.0526,-0.2982,0.0661,6.8366,351.7137,52.7917,-0.0015,0.0257,3.0957,359.2384,12.4795,0.012726053106895261,-0.05081661416159896,1.4556433188503815,0.0,0.0,0.97265625,-0.062242477939018645,-0.004723375815199995,1.8206077855771683
53,2.9003,2.8739,-0.026000000000000002,-0.0526,-0.2982,0.0661,6.8366,351.7137,52.7917,0.0162,0.033,3.1649,0.2698,15.9153,0.029289326143032875,-0.061673894883998895,1.4850783460431878,0.0,0.0,0.8671113848686218,-0.05037746353886152,-0.004723375815199995,1.8622180669387485
54,2.9551,2.9398,-0.015,-0.0661,-0.2003,0.0886,6.9146,351.4117,53.5965,0.0389,0.0445,3.2143,1.6068,20.2749,0.05261200826441781,-0.0794921087463987,1.517699370997154,0.0,0.0,0.8355891704559326,-0.034509995937201304,-0.004723375815199995,1.905171225302433
55,3.0102,2.9915,-0.019,-0.0954,-0.0445,0.0798,6.851,350.9459,55.2078,0.0633,0.0562,3.2513,2.8518,23.4991,0.0814197385143284,-0.09873187153619872,1.5501737304248135,0.0,0.0,0.7078842520713806,-0.01895758073175729,-0.004723375815199995,1.9409408680094342
56,3.062,3.0568,-0.005,-0.085,0.0011,0.0898,6.8613,350.4376,56.912,0.0898,0.0574,3.2891,1.7133,27.5568,0.11366854707826392,-0.11679041830539849,1.5797696886459258,0.0,0.0,0.5720548629760742,-0.005248791645062895,-0.004723375815199995,1.9672115877342808
57,3.1203,3.1114,-0.009000000000000001,-0.1219,0.1676,0.0218,7.8274,349.5633,60.1756,0.1302,0.0556,3.3388,1.8156,33.0793,0.1567997566918829,-0.1315323900883984,1.6078241532129673,0.0,0.0,0.6072338819503784,0.014073449708959213,-0.004723375815199995,1.9968752667468697
58,3.17,3.1783,0.008,-0.1134,0.3026,-0.0634,8.5981,348.9134,62.65,0.1641,0.0369,3.3786,4.0999,36.2665,0.19614680351170666,-0.1367747288921983,1.6267977213958809,0.0,0.0,0.7287632822990417,0.03549882100470158,-0.004723375815199995,2.026078146568762
59,3.2204,3.2451,0.025,-0.2094,0.1541,-0.0637,9.0257,348.431,64.6413,0.204,0.0338,3.4123,4.3596,39.0483,0.23998412628459653,-0.13825480462499817,1.63956396837616,0.0,0.0,0.9099280834197998,0.0643897246099273,-0.004723375815199995,2.0616940099038294
60,3.2703,3.2451,-0.025,-0.2094,0.1541,-0.0637,9.0257,348.431,64.6413,0.2443,0.0267,3.4482,3.0811,41.5635,0.28669140650933533,-0.13595983376499804,1.6457335591518718,0.0,0.0,1.006845235824585,0.09772248381480678,-0.004723375815199995,2.0992858075481355
61,3.3301,3.3127,-0.017,-0.1821,-0.0236,-0.1132,7.2622,348.0981,66.2783,0.2884,0.017,3.4838,2.2454,44.2317,0.34475412575514486,-0.1340366145761979,1.643219277480561,0.0,0.0,1.005997896194458,0.13968686729361648,-0.004723375815199995,2.1423909882093293
62,3.3703,3.3628,-0.006999999999999999,-0.1027,-0.3175,0.0048,6.8593,347.8862,66.8371,0.3327,0.0123,3.5185,2.3696,46.5494,0.3848597359552023,-0.1377720566249978,1.6388234886122184,0.0,0.0,0.9593720436096191,0.16768508252747905,-0.004723375815199995,2.168914461283033
63,3.4301,3.4138,-0.016,-0.0719,-0.2747,0.0103,6.4128,347.5679,66.9752,0.3931,0.0152,3.5601,2.0137,49.6812,0.4459785769267553,-0.15295567321859768,1.6273472234944355,0.0,0.0,0.8575315475463867,0.20678412414769481,-0.004723375815199995,2.2020949222263084
64,3.4854,3.4647,-0.021,-0.0806,0.0402,-0.0582,5.5998,347.6343,65.8343,0.4418,0.0209,3.5854,1.7233,53.5047,0.5016991542684958,-0.16579194483179754,1.610010038411623,0.0,0.0,0.8794842958450317,0.24588246263778823,-0.004723375815199995,2.231021207745012
65,3.5452,3.5669999999999997,0.022000000000000002,0.02,-0.0971,0.049,3.5192,348.0892,61.7807,0.4844,0.0345,3.6025,4.907,56.3512,0.5619897024780576,-0.18307564748619742,1.5898278852440761,0.0,0.0,0.9787623882293701,0.2946057302931915,-0.004723375815199995,2.2634527204127033
66,3.5953,3.6181,0.023,-0.0018,0.0096,0.053,3.4604,348.2483,59.6225,0.5298,0.0462,3.6187,3.6039999999999996,59.7907,0.612544205650513,-0.19731966465819734,1.5705372055874867,0.0,0.0,0.9380159378051758,0.3352181400411208,-0.004723375815199995,2.2870985331740012
67,3.6624,3.67,0.008,-0.0134,0.1715,0.0515,3.7657,348.0801,58.2646,0.5937,0.0477,3.6413,3.8778,63.2495,0.6808661588894214,-0.20882978058319718,1.5411577570512314,0.0,0.0,0.9444332122802734,0.39180727814819,-0.004723375815199995,2.315622426206388
68,3.7102,3.7213,0.011000000000000001,-0.0471,0.20199999999999999,-0.0813,3.3589,348.3843,56.3446,0.6659999999999999,0.0421,3.6639,4.3092,65.9823,0.7272498767533276,-0.21250616796919708,1.5162277357073701,0.0,0.0,1.0034151077270508,0.4356178514554797,-0.004723375815199995,2.3351443693464566
69,3.7701,3.7738,0.004,-0.0552,0.1312,-0.0676,3.2694,348.906,53.2664,0.7289,0.0359,3.6792,4.2932,68.8014,0.7822539483092136,-0.21249986924459696,1.4794968768495573,0.0,0.0,1.056283712387085,0.494607837422824,-0.004723375815199995,2.3580234187442777
70,3.82,3.8405,0.021,-0.026000000000000002,0.1773,-0.08199999999999999,2.5232,349.8747,49.6037,0.7898,0.0276,3.6935,2.4656,71.2618,0.825028457087192,-0.20816813008459684,1.4457155661976757,0.0,0.0,1.0984846353530884,0.5465168561194218,-0.004723375815199995,2.375632234575195
71,3.8702,3.8929,0.023,0.017,-0.1275,-0.0115,2.1111,350.6795,46.4995,0.8496,0.019,3.7069,1.445,74.2104,0.865867464321577,-0.20695913838459673,1.4098893188359942,0.0,0.0,1.124291181564331,0.6008266674999178,-0.004723375815199995,2.3909897153132125
72,3.9251,3.8929,-0.032,0.017,-0.1275,-0.0115,2.1111,350.6795,46.4995,0.9039,0.0151,3.7176,2.2427,76.0287,0.9088134950195199,-0.20940295972959663,1.3697166747347582,0.0,0.0,1.0819898843765259,0.6584706323910812,-0.004723375815199995,2.405331304411541
73,3.975,3.9606,-0.013999999999999999,0.0505,-0.2702,0.071,2.4866,350.7836,44.6258,0.9572,0.0196,3.7285,3.4638,76.5767,0.9488963622006592,-0.21821765770419654,1.334431914394908,0.0,0.0,1.0093358755111694,0.7074605755863904,-0.004723375815199995,2.4170234102183787
74,4.0303,4.0112,-0.019,0.0163,-0.1823,0.0429,3.3968,350.3707,43.5292,1.011,0.0314,3.7321,1.8969999999999998,78.9743,0.992810659628068,-0.23344965095899659,1.294230084745276,0.0,0.0,1.0077178478240967,0.7621587393439478,-0.004723375815199995,2.4276811202783484
75,4.0805,4.0623,-0.018000000000000002,-0.0502,-0.027999999999999997,0.0202,3.2107,350.1662,42.8291,1.0648,0.0415,3.7331,3.3037,80.8281,1.032163671320099,-0.24796838431819634,1.2553209659321263,0.0,0.0,0.9818122386932373,0.8108155579782437,-0.004723375815199995,2.4355373180966686
76,4.1352,4.1137,-0.022000000000000002,-0.0266,-0.0272,0.0245,2.4885,350.1401,41.4205,1.1392,0.0549,3.7322,3.4413,82.7165,1.0744354433277141,-0.2645861692697964,1.2108513575671114,0.0,0.0,0.9589070081710815,0.8628445340716191,-0.004723375815199995,2.442187155062326
77,4.1852,4.181,-0.004,0.0197,0.0561,-0.0243,2.3151,349.9932,40.0088,1.1996,0.0558,3.7317,3.4059,84.78299999999999,1.1109474232879892,-0.2784016506697963,1.1692623507334925,0.0,0.0,0.9233924150466919,0.9088228954872164,-0.004723375815199995,2.446385269156906
78,4.2304,4.2327,0.002,0.0807,0.2041,-0.0479,2.5367,350.1499,38.1435,1.2533,0.0523,3.7295,4.707,86.4776,1.1417715114258065,-0.28680439810819625,1.132260035838596,0.0,0.0,0.9717156887054443,0.9526614704412011,-0.004723375815199995,2.449083754646538
