,Unnamed: 0,dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y,old_x,old_y,old_z,raw_pred_x,raw_pred_y,raw_pred_z,pred_x,pred_y,pred_z
63,63,3.4301,3.4138,-0.016,-0.008660053332093869,-0.2747,0.07211590307473997,6.4128,347.5679,66.9752,3.5405343008015127,0.0152,0.5417162401552528,2.0137,49.6812,-1.4564689620967193,-0.15295567321859768,0.8519706798602675,0.0,0.0,1.049487829208374,0.3079158760744233,-0.004723375815199995,2.8219379625709053
64,64,3.4854,3.4647,-0.021,-0.07707769812528698,0.0402,0.06279035317393218,5.5998,347.6343,65.8343,3.5775767117031188,0.0209,0.5012237742560689,1.7233,53.5047,-1.4253009806499266,-0.16579194483179754,0.9013054308824929,0.0,0.0,1.0366960763931274,0.35400321873382234,-0.004723375815199995,2.8560349519583674
65,65,3.5452,3.567,0.022,0.05250674639021476,-0.0971,-0.006636383315757828,3.5192,348.0892,61.7807,3.605119734654029,0.0345,0.4645011397274077,4.907,56.3512,-1.390202175558965,-0.18307564748619742,0.9543181028682975,0.0,0.0,0.9431742429733276,0.4009548912119667,-0.004723375815199995,2.887287243399772
66,66,3.5953,3.6181,0.023,0.05072819451213608,0.0096,0.01545607587775394,3.4604,348.2483,59.6225,3.632518117687567,0.0462,0.4248409757445449,3.604,59.7907,-1.358484341635269,-0.19731966465819734,0.9981572078296878,0.0,0.0,0.9125866889953613,0.44046631425953925,-0.004723375815199995,2.9102920273343913
67,67,3.6624,3.67,0.008,0.046277004849513234,0.1715,0.02627258689505335,3.7657,348.0801,58.2646,3.6708865783437514,0.0477,0.3689676258639904,3.8778,63.2495,-1.3124229508351362,-0.20882978058319718,1.0565471861498712,0.0,0.0,0.9233437776565552,0.49579180247267873,-0.004723375815199995,2.9381789745568483
68,68,3.7102,3.7213,0.011,-0.09072014670163,0.202,0.02445311805138015,3.3589,348.3843,56.3446,3.7114291189787965,0.0421,0.30498049904260777,4.3092,65.9823,-1.276337409803322,-0.21250616796919708,1.0948980528353203,0.0,0.0,0.9225478172302246,0.53607159143041,-0.004723375815199995,2.956127604085418
69,69,3.7701,3.7738,0.004,-0.07958339714680017,0.1312,0.035822938162226134,3.2694,348.906,53.2664,3.7424875020579673,0.0359,0.2481836959590939,4.2932,68.8014,-1.2266220233339369,-0.21249986924459696,1.1385212602868278,0.0,0.0,1.0095219612121582,0.5924500867411546,-0.004723375815199995,2.9779937964236125
70,70,3.82,3.8405,0.021,-0.08593521292836913,0.1773,0.003890909785109044,2.5232,349.8747,49.6037,3.772062321220644,0.0276,0.19305992548305573,2.4656,71.2618,-1.1829209254127449,-0.20816813008459684,1.171095016457074,0.0,0.0,1.0547574758529663,0.6422927734500398,-0.004723375815199995,2.994901661623391
71,71,3.8702,3.8929,0.023,-0.006708223235581425,-0.1275,-0.019397158065593157,2.1111,350.6795,46.4995,3.800483106190049,0.019,0.13876573627534322,1.445,74.2104,-1.1377455149717377,-0.20695913838459673,1.2012699531330153,0.0,0.0,1.0729178190231323,0.6941209522469622,-0.004723375815199995,3.0095573976189343
72,72,3.9251,3.8929,-0.032,-0.006708223235581425,-0.1275,-0.019397158065593157,2.1111,350.6795,46.4995,3.8248723866804086,0.0151,0.08908532769044382,2.2427,76.0287,-1.0878264698678497,-0.20940295972959663,1.2323551879352361,0.0,0.0,1.0945794582366943,0.7524356377835487,-0.004723375815199995,3.0240658593450322
